,Location,Page_n,Title,Url,Date,Description,Clean_text
308,Świat,6,Naukowcy: w USA na COVID-19 zmarło dwa razy więcej osób,https://www.tvp.info/53697235/naukowcy-z-washington-university-w-seattle-w-usa-na-covid-19-zmarlo-dwa-razy-wiecej-osob-niz-mowia-oficjalne-dane,7.05.2021,"Oficjalne statystyki nie odzwierciedlają faktycznej liczby ofiar śmiertelnych koronawirusa w USA – twierdzą naukowcy z Washington University w Seattle. Szacują oni, że w kraju zmarło już ponad 905 tys. osób, czyli o ponad połowę więcej, niż wynika z oficjalnych danych.",ERROR
310,Świat,6,Koronawirus. Putin porównał rosyjskie szczepionki do kałasznikowa,https://www.tvp.info/53696036/koronawirus-sputnik-v-wladimir-putin-rosyjskie-szczepionki-sa-niezawodne-jak-kalasznikow,7.05.2021,"Prezydent Rosji Władimir Putin porównał w czwartek rosyjskie szczepionki przeciwko COVID-19 do kałasznikowa, chcąc podkreślic ich niezawodność. W jego ocenie, w  odróżnieniu od preparatów zachodnich rosyjskie szczepionki wykorzystują sprawdzone technologie.",ERROR
319,Świat,6,Koronawirus. Tarcia w Brukseli w sprawie Zielonych Certyfikatów,https://www.tvp.info/53687304/koronawirus-zielony-certyfikat-tarcia-na-linii-parlament-europejski-rada-ue,7.05.2021,"Pierwsza grupa krajów Unii Europejskiej rozpoczyna test pilotażowy Zielonego Certyfikatu, Polska dołączy do programu pod koniec miesiąca. Tymczasem w na linii Parlament Europejski – Rada UE istnieje konflikt o dokument, który ma ułatwić Europejczykom podróżowanie już w te wakacje – informuje RMF FM.",ERROR
322,Świat,7,W tym państwie zamknięto oddział dla chorych na COVID-19. Ostatni pacjent wypisany,https://www.tvp.info/53684247/koronawirus-san-marino-zamknieto-oddzial-dla-chorych-na-covid-19,7.05.2021,"W szpitalu w San Marino zamknięto oddział dla chorych na COVID-19. Do domu wypisany został ostatni pacjent, który tam przebywał - podał miejscowy dziennik „Libertas”. Miesiąc temu przebywało tam 40 chorych, a na intensywnej terapii nie było wolnego miejsca.",ERROR
334,Świat,7,Biden chce uwolnić patenty na szczepionki przeciw COVID-19. W KE dezorientacja,https://www.tvp.info/53676912/koronawirus-joe-biden-chce-uwolnic-patenty-na-szczepionki-na-covid-19-dezorientacja-w-komisji-europejskiej,6.05.2021,"Prezydent USA Joe Biden opowiedział się za zawieszeniem praw własności intelektualnej firm farmaceutycznych do szczepionek na COVID-19. Wymaga to odstąpienia od zasad Światowej Organizacji Handlu (WTO). Propozycja ta wyraźnie zaskoczyła Komisję Europejską, której rzecznicy nie byli w stanie odpowiedzieć na pytanie, jakie jest konkretne stanowisko ich instytucji w tej sprawie.",ERROR
349,Świat,8,Przebadano tysiące ochotników. Co czwarty z tego miasta ma przeciwciała COVID-19,https://www.tvp.info/53657332/slowacja-badania-na-koronawirusa-co-czwarty-nieszczepiony-ma-przeciwciala,5.05.2021,"Prawie 10 tys. mieszkańców z Koszyc i okolic wzięło udział w badaniu, które miało wykazać, jaka część populacji przeszła COVID-19. Wstępne wyniki eksperymentu są już znane. 25 proc. osób nieszczepionych ma przeciwciała.",ERROR
357,Świat,8,Koronawirus w USA. Liczba zakażonych dzieci wzrosła ponad siedmiokrotnie,https://www.tvp.info/53651707/koronawirus-w-usa-liczba-zakazonych-dzieci-wzrosla-ponad-siedmiokrotnie,5.05.2021,Ponad jedna piąta wykrywanych w USA przypadków koronawirusa dotyczy dzieci. Rok temu było to tylko 3 proc. W Stanach Zjednoczonych trwają masowe szczepienia dorosłych.,ERROR
361,Świat,9,"Łukaszenka: Kraje UE i USA „absolutnie nie pomogły"" Białorusi w walce z epidemią",https://www.tvp.info/53650948/bialorus-alaksandr-lukaszenka-klamie-ws-pomocy-ze-strony-zachodnich-w-walce-z-epidemia,5.05.2021,Europejczycy i Amerykanie „absolutnie nie pomogli” Białorusi w walce z epidemią – oświadczył prezydent Alaksandr Łukaszenka. Według wyliczeń mediów niezależnych Białoruś otrzymała 6 mln dolarów pomocy. W ubiegłym roku trafiły tam m.in. dwa transporty humanitarne z Polski.,ERROR
373,Świat,9,Ekspert o śmiertelności wśród nastolatków zakażonych koronawirusem,https://www.tvp.info/53638724/koronawirus-jaka-smiertelnosc-wsrod-nastolatkow-odpowiada-ekspert,4.05.2021,19 nastolatków zmarło we Włoszech w wyniku zakażenia koronawirusem – poinformował we wtorek koordynator komitetu doradców rządu profesor Franco Locatelli. Długotrwałe skutki pandemii porównał do konsekwencji wojny.,ERROR
375,Świat,9,Niemcy. Przywileje dla zaszczepionych przeciw COVID-19,https://www.tvp.info/53638352/niemiecki-rzad-zatwierdza-przywileje-dla-zaszczepionych-na-covid-19,4.05.2021,"Niemiecki rząd przyjął we wtorek projekt rozporządzenia, który przewiduje złagodzenie ograniczeń dla osób w pełni zaszczepionych na Covid-19. Regulacja musi jeszcze uzyskać akceptację parlamentu.",ERROR
